index,CVE ID,CWE ID,project,actual_class,predicted_class,classification,comments_reason,codeLink,commit_id
177885,CVE-2011-1428,CWE-20,savannah,Fixing,Fixing,tp,Node changed(multiple error handled),https://git.savannah.gnu.org/gitweb/?p=weechat.git;a=commit;h=c265cad1c95b84abfd4e8d861f25926ef13b5d91,c265cad1c95b84abfd4e8d861f25926ef13b5d91
178188,CVE-2016-4971,CWE-254,savannah,Not_fixing,Not_Fixing,tn,Function parameter changed. Not fixing here.,https://git.savannah.gnu.org/cgit/wget.git/commit/?id=e996e322ffd42aaa051602da182d03178d0f13e1,e996e322ffd42aaa051602da182d03178d0f13e1
178056,CVE-2017-8105,CWE-787,savannah,Fixing,Fixing,tp,(preventing a buffer overflow when handling malformed flex operators,https://git.savannah.gnu.org/cgit/freetype/freetype2.git/commit/?id=f958c48ee431bef8d4d466b40c9cb2d4dbcb7791,f958c48ee431bef8d4d466b40c9cb2d4dbcb7791
177768,CVE-2018-20482,CWE-835,savannah,Fixing,Fixing,tp,preventing an endless loop when a sparse file is truncated while being archived,https://git.savannah.gnu.org/cgit/tar.git/commit/?id=c15c42ccd1e2377945fd0414eca1a49294bff454,c15c42ccd1e2377945fd0414eca1a49294bff454
178009,CVE-2014-9745,CWE-399,savannah,Fixing,Fixing,tp,protecting against an invalid number in the encoding array,https://git.savannah.gnu.org/cgit/freetype/freetype2.git/commit/?id=df14e6c0b9592cbb24d5381dfc6106b14f915e75,df14e6c0b9592cbb24d5381dfc6106b14f915e75
178015,CVE-2014-9671,,savannah,Fixing,Fixing,tp,validation of size and offset values,https://git.savannah.gnu.org/cgit/freetype/freetype2.git/commit/?id=0e2f5d518c60e2978f26400d110eff178fa7e3c3,0e2f5d518c60e2978f26400d110eff178fa7e3c3
178171,CVE-2010-2527,CWE-119,savannah,Fixing,Not_Fixing,fn,was fixed by adding precision specifiers to sprintf format strings,https://git.savannah.gnu.org/cgit/freetype/freetype2-demos.git/commit/?id=b995299b73ba4cd259f221f500d4e63095508bec,b995299b73ba4cd259f221f500d4e63095508bec
178193,CVE-2018-6942,CWE-476,savannah,Fixing,Fixing,tp,prevent NULL pointer dereference,https://git.savannah.gnu.org/cgit/freetype/freetype2.git/commit/?id=29c759284e305ec428703c9a5831d0b1fc3497ef,29c759284e305ec428703c9a5831d0b1fc3497ef
178178,CVE-2010-2499,CWE-119,savannah,Fixing,Fixing,tp,preventing further processing with incomplete or corrupted data.,https://git.savannah.gnu.org/cgit/freetype/freetype2.git/commit/?id=c69891a1345640096fbf396e8dd567fe879ce233,c69891a1345640096fbf396e8dd567fe879ce233
178534,CVE-2013-4150,CWE-119,qemu,Fixing,Not_Fixing,fn,adds a bounds check immediately after reading,https://git.qemu.org/?p=qemu.git;a=commit;h=eea750a5623ddac7a61982eec8f1c93481857578,eea750a5623ddac7a61982eec8f1c93481857578
178011,CVE-2014-9718,CWE-399,qemu,Fixing,Fixing,tp,tightens the condition,https://git.qemu.org/?p=qemu.git;a=commit;h=3251bdcf1c67427d964517053c3d185b46e618e8,3251bdcf1c67427d964517053c3d185b46e618e8
177879,CVE-2015-3456,CWE-119,qemu,Fixing,Fixing,tp,preventing out-of-bounds access,https://git.qemu.org/?p=qemu.git;a=commitdiff;h=e907746266721f305d67bc0718795fedee2e824c,e907746266721f305d67bc0718795fedee2e824c
178622,CVE-2017-7539,CWE-20,qemu,Not_fixing,Not_Fixing,tn, The modification does not address the null?pointer dereference described in CVE?2017?7539,https://git.qemu.org/?p=qemu.git;a=commitdiff;h=ff82911cd3f69f028f2537825c9720ff78bc3f19,ff82911cd3f69f028f2537825c9720ff78bc3f19
178106,CVE-2016-7157,CWE-20,qemu,Fixing,Not_Fixing,fn,"Adding the class_id ensures the config page is correctly formed, preventing the invalid memory access.",https://git.qemu.org/?p=qemu.git;a=commit;h=65a8e1f6413a0f6f79894da710b5d6d43361d27d,65a8e1f6413a0f6f79894da710b5d6d43361d27d
178100,CVE-2016-7423,CWE-787,qemu,Fixing,Fixing,tp,allocates uninitialized memory,https://git.qemu.org/?p=qemu.git;a=commit;h=670e56d3ed2918b3861d9216f2c0540d9e9ae0d5,670e56d3ed2918b3861d9216f2c0540d9e9ae0d5
178084,CVE-2016-7995,CWE-399,qemu,Fixing,Fixing,tp,ensuring the allocated resources are freed and fixing the leak.,https://git.qemu.org/?p=qemu.git;a=commit;h=b16c129daf0fed91febbb88de23dae8271c8898a,b16c129daf0fed91febbb88de23dae8271c8898a
178066,CVE-2014-8106,CWE-119,qemu,Fixing,Fixing,tp,prevents a heap buffer overflow,https://git.qemu.org/?p=qemu.git;a=commit;h=bf25983345ca44aec3dd92c57142be45452bd38a,bf25983345ca44aec3dd92c57142be45452bd38a
178010,CVE-2014-9718,CWE-399,qemu,Fixing,Fixing,tp,prevent integer overflows and excessive memory allocation,https://git.qemu.org/?p=qemu.git;a=commit;h=3251bdcf1c67427d964517053c3d185b46e618e8,3251bdcf1c67427d964517053c3d185b46e618e8
178576,CVE-2014-0143,CWE-190,qemu,Fixing,Fixing,tp,preventing an integer overflow or an excessively large memory allocation,https://git.qemu.org/?p=qemu.git;a=commit;h=e3737b820b45e54b059656dc3f914f895ac7a88b,e3737b820b45e54b059656dc3f914f895ac7a88b
179723,CVE-2011-3346,CWE-119,qemu,Fixing,Fixing,tp,preventing the overflow. The change also reduces memory usage by allocating only when necessary.,https://github.com/bonzini/qemu/commit/7285477ab11831b1cf56e45878a89170dd06d9b9,7285477ab11831b1cf56e45878a89170dd06d9b9
178448,CVE-2015-8744,CWE-20,qemu,Fixing,Fixing,tp,previously attempted to send a packet regardless of whether the L2 header was valid. The patch adds a condition,https://git.qemu.org/?p=qemu.git;a=commitdiff;h=a7278b36fcab9af469563bd7b,a7278b36fcab9af469563bd7b9dadebe2ae25e48
177972,CVE-2017-9310,CWE-835,qemu,Fixing,Fixing,tp,The patch adds a check before reading the descriptor,https://git.qemu.org/?p=qemu.git;a=commitdiff;h=4154c7e03fa55b4cf52509a83d50d6c09d743b7,4154c7e03fa55b4cf52509a83d50d6c09d743b77
178526,CVE-2013-4544,CWE-20,qemu,Fixing,Fixing,tp,adding validation of interrupt indices,https://git.qemu.org/?p=qemu.git;a=commit;h=3c99afc779c2c78718a565ad8c5e98de7c2c7484,3c99afc779c2c78718a565ad8c5e98de7c2c7484
178247,CVE-2016-4037,CWE-20,qemu,Fixing,Not_Fixing,fn,preventing the infinite loop.,https://git.qemu.org/?p=qemu.git;a=commit;h=1ae3f2f178087711f9591350abad133525ba93f2,1ae3f2f178087711f9591350abad133525ba93f2
177894,CVE-2019-12068,CWE-835,qemu,Fixing,Fixing,tp,Move the existing loop exit after 10k iterations,https://git.qemu.org/?p=qemu.git;a=commit;h=de594e47659029316bbf9391efb79da0a1a08e08,de594e47659029316bbf9391efb79da0a1a08e08
178083,CVE-2016-8577,CWE-399,qemu,Fixing,Fixing,tp,The patch introduces a new label,https://git.qemu.org/?p=qemu.git;a=commit;h=e95c9a493a5a8d6f969e86c9f19f80ffe6587e19,e95c9a493a5a8d6f969e86c9f19f80ffe6587e19
178097,CVE-2016-7908,CWE-399,qemu,Fixing,Not_Fixing,fn,patch introduces a descriptor counter,https://git.qemu.org/?p=qemu.git;a=commit;h=070c4b92b8cd5390889716677a0b92444d6e087a,070c4b92b8cd5390889716677a0b92444d6e087a
178358,CVE-2016-2538,CWE-189,qemu,Fixing,Fixing,tp,The patch adds proper boundary checks,https://git.qemu.org/?p=qemu.git;a=commit;h=fe3c546c5ff2a6210f9a4d8561cc64051ca8603e,fe3c546c5ff2a6210f9a4d8561cc64051ca8603e
178528,CVE-2013-4539,CWE-119,qemu,Fixing,Fixing,tp,The patch adds bounds checks,https://git.qemu.org/?p=qemu.git;a=commit;h=5193be3be35f29a35bc465036cd64ad60d43385f,5193be3be35f29a35bc465036cd64ad60d43385f
180377,CVE-2016-5093,CWE-125,php,Fixing,Fixing,tp,classic heap buffer overflow that could lead to memory corruption,https://github.com/php/php-src/commit/97eff7eb57fc2320c267a949cffd622c38712484?w=1,97eff7eb57fc2320c267a949cffd622c38712484?w=1
178209,CVE-2016-4539,CWE-119,php,Not_Fixing,Not_Fixing,tn,Not fixing the cve here,https://git.php.net/?p=php-src.git;a=commit;h=dccda88f27a084bcbbb30198ace12b4e7ae961cc,dccda88f27a084bcbbb30198ace12b4e7ae961cc
177923,CVE-2015-2348,CWE-264,php,Fixing,Fixing,tp,conditional fix,https://git.php.net/?p=php-src.git;a=commit;h=1291d6bbee93b6109eb07e8f7916ff1b7fcc13e1,1291d6bbee93b6109eb07e8f7916ff1b7fcc13e1
179486,CVE-2014-4049,CWE-119,php,Fixing,Fixing,tp,adding a safety check inside the loop that processes the TXT record's text chunks.,https://github.com/php/php-src/commit/b34d7849ed90ced9345f8ea1c59bc8d101c18468,b34d7849ed90ced9345f8ea1c59bc8d101c18468
178491,CVE-2015-3412,CWE-254,php,Not_fixing,Not_fixing,tn,Not related to the CVE fix,https://git.php.net/?p=php-src.git;a=commit;h=4435b9142ff9813845d5c97ab29a5d637bedb257,4435b9142ff9813845d5c97ab29a5d637bedb257
178479,CVE-2015-4116,,php,Fixing,Fixing,tp,"the heap element might not have been inserted correctly, but heap->count was already incremented. This could lead to a use?after?free or memory corruption.",https://git.php.net/?p=php-src.git;a=commit;h=1cbd25ca15383394ffa9ee8601c5de4c0f2f90e1,1cbd25ca15383394ffa9ee8601c5de4c0f2f90e1
178231,CVE-2016-4072,CWE-20,php,Not_Fixing,Not_Fixing,tn,Not fixing here,https://git.php.net/?p=php-src.git;a=commit;h=1e9b175204e3286d64dfd6c9f09151c31b5e099a,1e9b175204e3286d64dfd6c9f09151c31b5e099a
178204,CVE-2016-4544,CWE-119,php,Fixing,Fixing,tp,Only modifies the TAG_COPYRIGHT handling. Doesn't fix the CVE alone,https://git.php.net/?p=php-src.git;a=commit;h=082aecfc3a753ad03be82cf14f03ac065723ec92,082aecfc3a753ad03be82cf14f03ac065723ec92
181838,CVE-2016-9936,CWE-416,php,Fixing,Fixing,tp,use after? free solve,https://github.com/php/php-src/commit/b2af4e8868726a040234de113436c6e4f6372d17,b2af4e8868726a040234de113436c6e4f6372d17
180294,CVE-2016-5768,CWE-415,php,Not_Fixing,Not_Fixing,tn,,https://github.com/php/php-src/commit/5b597a2e5b28e2d5a52fc1be13f425f08f47cb62?w=1,5b597a2e5b28e2d5a52fc1be13f425f08f47cb62?w=1
178151,CVE-2016-6295,CWE-416,php,Not_Fixing,Not_Fixing,tn,,https://git.php.net/?p=php-src.git;a=commit;h=cab1c3b3708eead315e033359d07049b23b147a3,cab1c3b3708eead315e033359d07049b23b147a3
180352,CVE-2016-5094,CWE-190,php,Not_Fixing,Not_Fixing,tn,,https://github.com/php/php-src/commit/0da8b8b801f9276359262f1ef8274c7812d3dfda?w=1,0da8b8b801f9276359262f1ef8274c7812d3dfda?w=1
180231,CVE-2016-5770,CWE-190,php,Not_Fixing,Not_Fixing,tn,,https://github.com/php/php-src/commit/7245bff300d3fa8bacbef7897ff080a6f1c23eba?w=1,7245bff300d3fa8bacbef7897ff080a6f1c23eba?w=1
177928,CVE-2017-11144,CWE-754,php,Fixing,Fixing,tp,conditional fix,https://git.php.net/?p=php-src.git;a=commit;h=91826a311dd37f4c4e5d605fa7af331e80ddd4c3,91826a311dd37f4c4e5d605fa7af331e80ddd4c3
177927,CVE-2017-11144,CWE-754,php,Fixing,Fixing,tp,conditional fix,https://git.php.net/?p=php-src.git;a=commit;h=73cabfedf519298e1a11192699f44d53c529315e,73cabfedf519298e1a11192699f44d53c529315e
178154,CVE-2016-6289,CWE-190,php,Not_Fixing,Not_Fixing,tn,,https://git.php.net/?p=php-src.git;a=commit;h=0218acb7e756a469099c4ccfb22bce6c2bd1ef87,0218acb7e756a469099c4ccfb22bce6c2bd1ef87
178476,CVE-2015-4601,,php,Fixing,Not_Fixing,fn,a type confusion vulnerability,https://git.php.net/?p=php-src.git;a=commit;h=0c136a2abd49298b66acb0cad504f0f972f5bfe8,0c136a2abd49298b66acb0cad504f0f972f5bfe8
178485,CVE-2015-3412,CWE-254,php,Fixing,Fixing,tp,conditional fix,https://git.php.net/?p=php-src.git;a=commit;h=4435b9142ff9813845d5c97ab29a5d637bedb257,4435b9142ff9813845d5c97ab29a5d637bedb257
180273,CVE-2016-5769,CWE-190,php,Not_Fixing,Not_Fixing,tn,,https://github.com/php/php-src/commit/6c5211a0cef0cc2854eaa387e0eb036e012904d0?w=1,6c5211a0cef0cc2854eaa387e0eb036e012904d0?w=1
180358,CVE-2016-5093,CWE-125,php,Not_Fixing,Not_Fixing,tn,,https://github.com/php/php-src/commit/97eff7eb57fc2320c267a949cffd622c38712484?w=1,97eff7eb57fc2320c267a949cffd622c38712484?w=1
177924,CVE-2015-2331,CWE-189,php,Fixing,Fixing,tp,It prevents the integer overflow that occurs when nentry is manipulated,https://git.php.net/?p=php-src.git;a=commit;h=ef8fc4b53d92fbfcd8ef1abbd6f2f5fe2c4a11e5,ef8fc4b53d92fbfcd8ef1abbd6f2f5fe2c4a11e5
178134,CVE-2016-6307,CWE-400,openssl,Fixing,Fixing,tp,eliminates the integer overflow and ensures the buffer is properly sized,https://git.openssl.org/?p=openssl.git;a=commit;h=4b390b6c3f8df925dc92a3dd6b022baa9a2f4650,4b390b6c3f8df925dc92a3dd6b022baa9a2f4650
177939,CVE-2015-1793,CWE-254,openssl,Fixing,Fixing,tp,The patch removes the manual decrement of last_untrusted inside the loop and recalculates last_untrusted from the actual chain size after popping,https://git.openssl.org/?p=openssl.git;a=commit;h=9a0db453ba017ebcaccbee933ee6511a9ae4d1c8,9a0db453ba017ebcaccbee933ee6511a9ae4d1c8
178378,CVE-2016-2177,CWE-190,openssl,Fixing,Fixing,tp,These changes prevent integer overflow by ensuring the subtraction limit - p does not wrap and correctly validates the available space before any addition.,https://git.openssl.org/?p=openssl.git;a=commit;h=a004e72b95835136d3f1ea90517f706c24c03da7,a004e72b95835136d3f1ea90517f706c24c03da7
178370,CVE-2016-2179,CWE-399,openssl,Not_Fixing,Not_Fixing,tn,Not fixing here,https://git.openssl.org/?p=openssl.git;a=commit;h=f5c7f5dfbaf0d2f7d946d0fe86f08e6bcb36ed0d,f5c7f5dfbaf0d2f7d946d0fe86f08e6bcb36ed0d
178355,CVE-2016-2842,CWE-119,openssl,Fixing,Fixing,tp,prevents the denial?of?service condition by properly handling errors during output formatting.,https://git.openssl.org/?p=openssl.git;a=commit;h=578b956fe741bf8e84055547b1e83c28dd902c73,578b956fe741bf8e84055547b1e83c28dd902c73
178309,CVE-2019-1563,CWE-311,openssl,Not_Fixing,Not_Fixing,tn,Not fixing here,https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=08229ad838c50f644d7e928e2eef147b4308ad64,08229ad838c50f644d7e928e2eef147b4308ad64
178041,CVE-2012-2686,CWE-310,openssl,Not_Fixing,Not_Fixing,tn,comment changed,https://git.openssl.org/gitweb/?p=openssl.git;a=commit;h=125093b59f3c2a2d33785b5563d929d0472f1721,125093b59f3c2a2d33785b5563d929d0472f1721
181595,CVE-2017-3733,CWE-20,openssl,Not_Fixing,Not_Fixing,tn,Not fixing here(function call change),https://github.com/openssl/openssl/commit/4ad93618d26a3ea23d36ad5498ff4f59eff3a4d2,4ad93618d26a3ea23d36ad5498ff4f59eff3a4d2
177992,CVE-2015-0208,,openssl,Fixing,Fixing,tp,"prevents an attacker from forging RSA PSS signatures that would be incorrectly accepted, closing a critical security hole in the RSA signature verification logic.",https://git.openssl.org/?p=openssl.git;a=commit;h=4b22cce3812052fe64fc3f6d58d8cc884e3cb834,4b22cce3812052fe64fc3f6d58d8cc884e3cb834
181950,CVE-2016-7798,CWE-310,openssl,Not_Fixing,Not_Fixing,tn,Not fixing here,https://github.com/ruby/openssl/commit/8108e0a6db133f3375608303fdd2083eb5115062,8108e0a6db133f3375608303fdd2083eb5115062
178532,CVE-2013-4353,CWE-20,openssl,Fixing,Fixing,tp,preventing the dereference and avoiding the crash.,https://git.openssl.org/gitweb/?p=openssl.git;a=commit;h=197e0ea817ad64820789d86711d55ff50d71f631,197e0ea817ad64820789d86711d55ff50d71f631
177964,CVE-2013-0166,CWE-310,openssl,Fixing,Fixing,tp,Fixed a NULL pointer dereference vulnerability,https://git.openssl.org/gitweb/?p=openssl.git;a=commit;h=66e8211c0b1347970096e04b18aa52567c325200,66e8211c0b1347970096e04b18aa52567c325200
177963,CVE-2013-0166,CWE-310,openssl,Fixing,Fixing,tp,,https://git.openssl.org/gitweb/?p=openssl.git;a=commit;h=62e4506a7d4cec1c8e1ff687f6b220f6a62a57c7,62e4506a7d4cec1c8e1ff687f6b220f6a62a57c7
177993,CVE-2015-0207,,openssl,Not_Fixing,Not_Fixing,tn,,https://git.openssl.org/?p=openssl.git;a=commit;h=819418110b6fff4a7b96f01a5d68f71df3e3b736,819418110b6fff4a7b96f01a5d68f71df3e3b736
178347,CVE-2014-3509,CWE-362,openssl,Fixing,Not_Fixing,fn,eliminates the memory leak,https://git.openssl.org/gitweb/?p=openssl.git;a=commit;h=fb0bc2b273bcc2d5401dd883fe869af4fc74bb21,fb0bc2b273bcc2d5401dd883fe869af4fc74bb21
178367,CVE-2016-2179,CWE-399,openssl,Fixing,Fixing,tp,,https://git.openssl.org/?p=openssl.git;a=commit;h=f5c7f5dfbaf0d2f7d946d0fe86f08e6bcb36ed0d,f5c7f5dfbaf0d2f7d946d0fe86f08e6bcb36ed0d
179999,CVE-2014-3571,,openssl,Fixing,Not_Fixing,fn,preventing the out?of?bounds read.,https://github.com/openssl/openssl/commit/248385c606620b29ecc96ca9d3603463f879652b,248385c606620b29ecc96ca9d3603463f879652b
181953,CVE-2016-7798,CWE-310,openssl,Not_Fixing,Not_Fixing,tn,,https://github.com/ruby/openssl/commit/8108e0a6db133f3375608303fdd2083eb5115062,8108e0a6db133f3375608303fdd2083eb5115062
181599,CVE-2017-3733,CWE-20,openssl,Fixing,Fixing,tp,,https://github.com/openssl/openssl/commit/4ad93618d26a3ea23d36ad5498ff4f59eff3a4d2,4ad93618d26a3ea23d36ad5498ff4f59eff3a4d2
178342,CVE-2014-3513,CWE-20,openssl,Not_Fixing,Not_Fixing,tn,,https://git.openssl.org/gitweb/?p=openssl.git;a=commit;h=2b0532f3984324ebe1236a63d15893792384328d,2b0532f3984324ebe1236a63d15893792384328d
182094,CVE-2018-1999015,CWE-125,ffmpeg,Fixing,Fixing,tp,"Fixed missing bounds checks, leading to an infinite loop when parsing a malicious MPEG?4 Studio Profile stream.",https://github.com/FFmpeg/FFmpeg/commit/5aba5b89d0b1d73164d3b81764828bb8b20ff32a,5aba5b89d0b1d73164d3b81764828bb8b20ff32a
179098,CVE-2013-7013,CWE-189,ffmpeg,Fixing,Fixing,tp,"Conditional fix. Eliminates the integer overflow, preventing the subsequent heap buffer overflow and the resulting crash or potential code execution.",https://github.com/FFmpeg/FFmpeg/commit/821a5938d100458f4d09d634041b05c860554ce0,821a5938d100458f4d09d634041b05c860554ce0
179087,CVE-2013-7022,CWE-119,ffmpeg,Fixing,Fixing,tp,Conditional fix,https://github.com/FFmpeg/FFmpeg/commit/e07ac727c1cc9eed39e7f9117c97006f719864bd,e07ac727c1cc9eed39e7f9117c97006f719864bd
182330,CVE-2018-13303,CWE-476,ffmpeg,Fixing,Fixing,tp,Conditional fix for error handling,https://github.com/FFmpeg/FFmpeg/commit/00e8181bd97c834fe60751b0c511d4bb97875f78,00e8181bd97c834fe60751b0c511d4bb97875f78
179796,CVE-2015-3417,,ffmpeg,Fixing,Fixing,tp,Eliminating all stale pointers and preventing use?after?free.,https://github.com/FFmpeg/FFmpeg/commit/e8714f6f93d1a32f4e4655209960afcf4c185214,e8714f6f93d1a32f4e4655209960afcf4c185214
179177,CVE-2013-4263,CWE-119,ffmpeg,Fixing,Fixing,tp,Loop condition changed,https://github.com/FFmpeg/FFmpeg/commit/e43a0a232dbf6d3c161823c2e07c52e76227a1bc,e43a0a232dbf6d3c161823c2e07c52e76227a1bc
179174,CVE-2013-4263,CWE-119,ffmpeg,Fixing,Fixing,tp,Loop condition changed,https://github.com/FFmpeg/FFmpeg/commit/e43a0a232dbf6d3c161823c2e07c52e76227a1bc,e43a0a232dbf6d3c161823c2e07c52e76227a1bc
179101,CVE-2013-7010,CWE-189,ffmpeg,Fixing,Fixing,tp,Loop condition fixed,https://github.com/FFmpeg/FFmpeg/commit/454a11a1c9c686c78aa97954306fb63453299760,454a11a1c9c686c78aa97954306fb63453299760
179097,CVE-2013-7014,CWE-189,ffmpeg,Fixing,Fixing,tp,"the fix eliminates the integer overflow / unsigned wrap?around, closing the vulnerability.",https://github.com/FFmpeg/FFmpeg/commit/86736f59d6a527d8bc807d09b93f971c0fe0bb07,86736f59d6a527d8bc807d09b93f971c0fe0bb07
182099,CVE-2018-1999010,CWE-125,ffmpeg,Fixing,Fixing,tp,Lots of Conditional fix,https://github.com/FFmpeg/FFmpeg/commit/cced03dd667a5df6df8fd40d8de0bff477ee02e8,cced03dd667a5df6df8fd40d8de0bff477ee02e8
183404,CVE-2019-11339,CWE-125,ffmpeg,Fixing,Fixing,tp,Path condition changed,https://github.com/FFmpeg/FFmpeg/commit/1f686d023b95219db933394a7704ad9aa5f01cbb,1f686d023b95219db933394a7704ad9aa5f01cbb
181666,CVE-2016-10192,CWE-119,ffmpeg,Fixing,Fixing,tp,Conditional fix,https://github.com/FFmpeg/FFmpeg/commit/a5d25faa3f4b18dac737fdb35d0dd68eb0dc2156,a5d25faa3f4b18dac737fdb35d0dd68eb0dc2156
179095,CVE-2013-7016,CWE-119,ffmpeg,Fixing,Not_Fixing,fn,The patch adds explicit validation,https://github.com/FFmpeg/FFmpeg/commit/8bb11c3ca77b52e05a9ed1496a65f8a76e6e2d8f,8bb11c3ca77b52e05a9ed1496a65f8a76e6e2d8f
181672,CVE-2016-10190,CWE-119,ffmpeg,Not_fixing,Not_Fixing,tn,this change alone does not fix CVE-2016-10190,https://github.com/FFmpeg/FFmpeg/commit/2a05c8f813de6f2278827734bf8102291e7484aa,2a05c8f813de6f2278827734bf8102291e7484aa
181242,CVE-2017-9995,CWE-119,ffmpeg,Fixing,Fixing,tp,Conditional fix for error handling,https://github.com/FFmpeg/FFmpeg/commit/7ac5067146613997bb38442cb022d7f41321a706,7ac5067146613997bb38442cb022d7f41321a706
179088,CVE-2013-7021,CWE-399,ffmpeg,Fixing,Fixing,tp,Conditional changes,https://github.com/FFmpeg/FFmpeg/commit/cdd5df8189ff1537f7abe8defe971f80602cc2d2,cdd5df8189ff1537f7abe8defe971f80602cc2d2
179173,CVE-2013-4263,CWE-119,ffmpeg,Fixing,Not_Fixing,fn, loop condition is changed,https://github.com/FFmpeg/FFmpeg/commit/e43a0a232dbf6d3c161823c2e07c52e76227a1bc,e43a0a232dbf6d3c161823c2e07c52e76227a1bc
179175,CVE-2013-4263,CWE-119,ffmpeg,Fixing,Fixing,tp,Loop condition changed,https://github.com/FFmpeg/FFmpeg/commit/e43a0a232dbf6d3c161823c2e07c52e76227a1bc,e43a0a232dbf6d3c161823c2e07c52e76227a1bc
181417,CVE-2017-7866,CWE-787,ffmpeg,Fixing,Fixing,tp,Conditional changes,https://github.com/FFmpeg/FFmpeg/commit/e371f031b942d73e02c090170975561fabd5c264,e371f031b942d73e02c090170975561fabd5c264
181674,CVE-2016-10190,CWE-119,ffmpeg,Not_fixing,Not_Fixing,tn,this change alone does not fix CVE-2016-10190,https://github.com/FFmpeg/FFmpeg/commit/2a05c8f813de6f2278827734bf8102291e7484aa,2a05c8f813de6f2278827734bf8102291e7484aa
178673,CVE-2016-9601,CWE-119,ghostscript,Not_Fixing,Not_Fixing,tn,Not fixing here,http://git.ghostscript.com/?p=jbig2dec.git;a=commit;h=e698d5c11d27212aa1098bc5b1673a3378563092,e698d5c11d27212aa1098bc5b1673a3378563092
177832,CVE-2019-14975,CWE-125,ghostscript,Fixing,Fixing,tp,preventing the out?of?bounds access,http://git.ghostscript.com/?p=mupdf.git;a=commit;h=97096297d409ec6f206298444ba00719607e8ba8,97096297d409ec6f206298444ba00719607e8ba8
177751,CVE-2018-1000039,CWE-416,ghostscript,Fixing,Fixing,tp,The fix eliminates the denial?of?service vector,http://git.ghostscript.com/?p=mupdf.git;a=commitdiff;h=71ceebcf56e682504da22c4035b39a2d451e8ffd;hp=7f82c01523505052615492f8e220f4348ba46995,71ceebcf56e682504da22c4035b39a2d451e8ffd
177952,CVE-2017-9726,CWE-125,ghostscript,Fixing,Not_Fixing,fn,preventing the out?of?bounds memory access.,http://git.ghostscript.com/?p=ghostpdl.git;a=commit;h=7755e67116e8973ee0e3b22d653df026a84fa01b,7755e67116e8973ee0e3b22d653df026a84fa01b
